Image,BlockSize,Mode,PSNR,Bhattacharyya,Chi2,Time(min:sec)
ferrari.ppm,8,0,15.0579,0.128961,0.425944,5:18
ferrari.ppm,8,1,11.1907,0.0561794,0.189549,5:55
ferrari.ppm,8,2,11.2005,0.0538381,0.181593,5:58
street.ppm,8,0,12.7543,0.0610249,0.211062,1:52
street.ppm,8,1,12.5556,0.0166904,0.0642054,2:2
street.ppm,8,2,12.4127,0.0167173,0.0642397,2:6
papa noel.ppm,8,0,12.3376,0.0690329,0.218916,2:33
papa noel.ppm,8,1,12.4457,0.0102757,0.0400472,2:46
papa noel.ppm,8,2,12.4968,0.0102663,0.0398859,2:50
airport.ppm,8,0,11.9892,0.112438,0.325837,1:51
airport.ppm,8,1,14.3295,0.0170691,0.0644751,2:2
airport.ppm,8,2,14.1278,0.0190981,0.0708238,2:3
katchao.ppm,8,0,13.5438,0.0749722,0.232285,4:40
katchao.ppm,8,1,13.8741,0.0178208,0.066709,5:7
katchao.ppm,8,2,13.9508,0.0198983,0.0734312,5:11
wpuech.ppm,8,0,13.1752,0.0576277,0.179299,8:8
wpuech.ppm,8,1,13.5176,0.012006,0.0454226,9:4
wpuech.ppm,8,2,13.51,0.0178896,0.0657425,9:23
chat.ppm,8,0,13.514,0.188118,0.480577,3:23
chat.ppm,8,1,14.362,0.0359226,0.125637,3:48
chat.ppm,8,2,14.2323,0.0377418,0.130716,3:46
cake.ppm,8,0,13.9262,0.157464,0.421106,2:35
cake.ppm,8,1,13.6054,0.0411004,0.147427,2:50
cake.ppm,8,2,13.6957,0.0414715,0.148036,2:53
ski.ppm,8,0,12.9137,0.364246,0.823648,1:52
ski.ppm,8,1,12.918,0.0669276,0.225146,2:6
ski.ppm,8,2,12.4973,0.07088,0.234258,2:7
karmine.ppm,8,0,13.6294,0.183019,0.502514,3:26
karmine.ppm,8,1,11.5586,0.0635553,0.21776,3:46
karmine.ppm,8,2,11.4147,0.0764198,0.2392,3:52
teach.ppm,8,0,14.2,0.109382,0.317743,9:41
teach.ppm,8,1,12.847,0.0317604,0.11282,10:38
teach.ppm,8,2,12.586,0.0375176,0.12455,10:46
groot.ppm,8,0,13.1608,0.090675,0.240907,9:19
groot.ppm,8,1,11.6307,0.0548792,0.165133,10:17
groot.ppm,8,2,11.5444,0.0571993,0.170779,10:24
chat2.ppm,8,0,13.2185,0.130145,0.341276,10:51
chat2.ppm,8,1,12.4788,0.0295922,0.105584,11:51
chat2.ppm,8,2,12.5317,0.0479175,0.150756,12:6
oiseau.ppm,8,0,14.3427,0.074199,0.222434,1:54
oiseau.ppm,8,1,15.1361,0.0265601,0.0906162,2:4
oiseau.ppm,8,2,14.6004,0.0349215,0.113169,2:5
glorp.ppm,8,0,13.5549,0.172008,0.414388,1:39
glorp.ppm,8,1,16.5673,0.0598682,0.18518,1:49
glorp.ppm,8,2,16.5459,0.0621946,0.190837,1:51
ferrari.ppm,16,0,14.7553,0.128607,0.414643,1:22
ferrari.ppm,16,1,11.0692,0.0456538,0.164755,1:33
ferrari.ppm,16,2,10.8376,0.0439915,0.158408,1:37
street.ppm,16,0,12.2508,0.0464245,0.166816,0:28
street.ppm,16,1,12.3566,0.0139881,0.0537979,0:31
street.ppm,16,2,12.1489,0.0138205,0.0531696,0:33
papa noel.ppm,16,0,11.667,0.0465647,0.157669,0:40
papa noel.ppm,16,1,11.9376,0.0085731,0.0336018,0:45
papa noel.ppm,16,2,11.8565,0.00822319,0.0322361,0:45
airport.ppm,16,0,11.7144,0.096949,0.287596,0:28
airport.ppm,16,1,14.1485,0.0132388,0.0500397,0:32
airport.ppm,16,2,14.0406,0.0138039,0.0515614,0:32
katchao.ppm,16,0,12.9808,0.0394315,0.127148,1:11
katchao.ppm,16,1,13.7704,0.0144328,0.0540862,1:20
katchao.ppm,16,2,13.716,0.0141965,0.0535652,1:22
wpuech.ppm,16,0,12.6899,0.0483613,0.154655,2:7
wpuech.ppm,16,1,13.76,0.0102498,0.0384077,2:24
wpuech.ppm,16,2,13.7941,0.0124904,0.0464352,2:27
chat.ppm,16,0,13.1977,0.180671,0.470545,0:50
chat.ppm,16,1,14.7796,0.023814,0.0828723,0:57
chat.ppm,16,2,14.758,0.0226342,0.0793613,0:58
cake.ppm,16,0,13.2581,0.15014,0.405416,0:39
cake.ppm,16,1,13.658,0.0317379,0.116334,0:43
cake.ppm,16,2,13.588,0.0321331,0.1163,0:46
ski.ppm,16,0,12.4118,0.375593,0.83706,0:28
ski.ppm,16,1,12.5438,0.0570096,0.192868,0:31
ski.ppm,16,2,12.5429,0.0603678,0.203351,0:33
karmine.ppm,16,0,12.9038,0.167833,0.460937,0:52
karmine.ppm,16,1,12.1136,0.0530518,0.186499,0:58
karmine.ppm,16,2,11.9466,0.0599013,0.191681,1:0
teach.ppm,16,0,13.5869,0.103625,0.300782,2:27
teach.ppm,16,1,12.7834,0.0261609,0.0938488,2:51
