Image,BlockSize,Mode,PSNR,Bhattacharyya,Chi2,Time(min:sec)
katchao.pgm,8,0,13.6987,0.0950532,0.272145,4:3
katchao.pgm,8,1,13.5122,0.0150811,0.0577976,4:7
katchao.pgm,8,2,13.3554,0.0148418,0.0567638,4:10
ferrari.pgm,8,0,15.4536,0.164295,0.517158,4:42
ferrari.pgm,8,1,11.4904,0.0575887,0.193971,4:45
ferrari.pgm,8,2,11.4102,0.0580851,0.195454,4:44
wpuech.pgm,8,0,12.6141,0.0732536,0.234671,7:8
wpuech.pgm,8,1,14.7982,0.00718036,0.0271147,7:17
wpuech.pgm,8,2,14.6738,0.0068899,0.0259758,7:17
glorp.pgm,8,0,12.4974,0.202953,0.497897,1:25
glorp.pgm,8,1,15.6728,0.0533368,0.157391,1:25
glorp.pgm,8,2,15.5424,0.0528127,0.155518,1:25
karmine.pgm,8,0,12.5437,0.250776,0.595914,2:55
karmine.pgm,8,1,14.2433,0.0295942,0.097848,2:58
karmine.pgm,8,2,14.0603,0.0288549,0.0949622,2:57
street.pgm,8,0,12.368,0.0707913,0.24528,1:35
street.pgm,8,1,12.7503,0.0107819,0.0416336,1:36
street.pgm,8,2,12.6005,0.0108574,0.0419141,1:36
cake.pgm,8,0,13.0097,0.189797,0.466662,2:10
cake.pgm,8,1,14.6917,0.0168553,0.063601,2:11
cake.pgm,8,2,14.5286,0.0165161,0.0622199,2:11
airport.pgm,8,0,11.7025,0.136259,0.390608,1:36
airport.pgm,8,1,13.5315,0.0204312,0.0710974,1:37
airport.pgm,8,2,13.4444,0.0203658,0.0707422,1:37
katchao.pgm,16,0,13.5194,0.0479894,0.148367,1:3
katchao.pgm,16,1,13.3132,0.00941505,0.0368046,1:7
katchao.pgm,16,2,13.1998,0.00873904,0.0341853,1:8
ferrari.pgm,16,0,15.3609,0.14561,0.460386,1:14
ferrari.pgm,16,1,11.2215,0.0455551,0.162564,1:19
ferrari.pgm,16,2,11.0872,0.0458267,0.163025,1:21
wpuech.pgm,16,0,12.6813,0.0517819,0.172979,1:53
